,TestName,Metadata,IterationStartTime,IterationEndTime,MetricName,value,BaseLine,Grp_id,grp_startTime,IntertionTime
0,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 03:38:54.263752,2023-04-27 03:43:04.657833,op_rate,20016.0,21533.33942940746,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:23:20.592893
1,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 03:55:31.765902,2023-04-27 03:59:45.787353,op_rate,19399.0,21531.9,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:23:52.368403
2,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 04:03:58.884879,2023-04-27 04:08:15.293151,op_rate,19392.0,21534.07129731716,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:24:10.328985
3,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 04:21:02.864992,2023-04-27 04:25:23.498178,op_rate,18862.0,21537.43003288272,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:24:52.546726
4,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 04:33:59.525730,2023-04-27 04:38:13.559396,op_rate,19807.0,21535.071821179918,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:25:16.157114
5,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 05:07:38.401152,2023-04-27 05:11:57.894199,op_rate,19012.0,21535.22259013981,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:26:29.946823
6,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 05:12:04.949046,2023-04-27 05:16:24.823777,op_rate,19081.0,21532.39313116551,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:26:40.249344
7,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 05:16:32.004389,2023-04-27 05:20:41.735028,op_rate,19945.0,21538.319765309865,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:26:53.565966
8,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 05:37:38.754092,2023-04-27 05:41:52.240386,op_rate,19665.0,21532.338484179545,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:27:32.492627
9,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 05:41:58.822920,2023-04-27 05:46:21.666229,op_rate,19780.0,21534.385635359115,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:27:41.127190
10,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 05:59:07.595867,2023-04-27 06:03:18.392729,op_rate,19812.0,21537.038193169297,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:28:15.223840
11,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:03:25.425069,2023-04-27 06:08:51.590576,op_rate,13926.0,21535.032352941176,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:28:23.693885
12,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:08:58.551966,2023-04-27 06:14:05.780004,op_rate,14853.0,21529.823378526933,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:28:31.882395
13,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:14:13.269699,2023-04-27 06:19:17.490699,op_rate,14889.0,21531.13450292398,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:28:40.192234
14,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:19:24.438148,2023-04-27 06:24:29.528979,op_rate,14924.0,21534.113719735877,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:28:48.420765
15,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:24:36.085635,2023-04-27 06:29:44.670219,op_rate,14595.0,21531.051781123762,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:28:56.743985
